loc_rowid,pl_pnum,hip_name
640,4,HIP 15526
641,4,HIP 15526
642,4,HIP 15526
643,1,HIP 15527
644,2,HIP 107985
645,2,HIP 107985
646,4,HIP 15510
647,4,HIP 15510
648,4,HIP 15510
649,4,HIP 15510
650,1,HIP 108375
651,1,HIP 108296
652,1,HIP 15578
653,1,HIP 108513
654,1,HIP 108859
655,1,HIP 109381
656,1,HIP 109378
657,1,HIP 109577
658,1,HIP 110094
659,1,HIP 110443
660,1,HIP 110852
661,1,HIP 110813
662,1,HIP 111143
663,2,HIP 111553
664,2,HIP 111553
665,1,HIP 16012
666,1,HIP 111928
667,4,HIP 112190
668,4,HIP 112190
669,4,HIP 112190
670,4,HIP 112190
671,2,HIP 112441
672,2,HIP 112441
673,1,HIP 113044
674,1,HIP 113137
675,1,
676,1,HIP 113238
677,2,HIP 16085
678,2,HIP 16085
679,2,HIP 113421
680,2,HIP 113421
681,2,HIP 16069
682,1,HIP 113834
683,1,HIP 113789
684,1,HIP 114322
685,1,HIP 114699
686,6,HIP 114622
687,6,HIP 114622
688,6,HIP 114622
689,6,HIP 114622
690,6,HIP 114622
691,6,HIP 114622
692,1,
693,1,
694,2,HIP 115100
695,2,HIP 115100
696,1,HIP 115218
697,1,HIP 115359
698,1,HIP 115662
699,1,HIP 115697
700,1,HIP 115714
701,1,HIP 116084
702,1,HIP 116158
703,1,HIP 116250
704,1,HIP 116221
705,1,HIP 116630
706,1,HIP 116616
707,1,HIP 116906
708,1,HIP 118228
709,1,HIP 118319
710,1,HIP 17187
711,1,HIP 17096
712,1,HIP 17054
713,1,HIP 96078
714,1,
715,1,HIP 55806
716,2,HIP 17264
717,2,HIP 17264
718,1,HIP 17747
719,1,HIP 91388
720,1,
721,1,HIP 114840
722,1,HIP 17960
723,1,HIP 18451
724,1,HIP 17515
725,1,HIP 18527
726,1,HIP 18387
727,1,HIP 2350
728,1,
729,1,HIP 19849
730,1,HIP 19921
731,1,HIP 20199
732,3,HIP 20277
733,3,HIP 20277
734,3,HIP 20277
735,1,HIP 20723
736,1,HIP 20606
737,1,HIP 19207
738,1,HIP 21932
739,1,HIP 21109
740,1,HIP 21571
741,1,HIP 25191
742,1,HIP 2611
743,2,HIP 21850
744,2,HIP 21850
745,1,HIP 22336
746,1,HIP 22320
747,1,HIP 22491
748,1,HIP 22826
749,3,HIP 22905
750,3,HIP 22905
751,3,HIP 22905
752,3,HIP 2736
753,3,HIP 2736
754,3,HIP 2736
755,1,HIP 24003
756,1,HIP 23884
757,1,HIP 77517
758,2,HIP 23844
759,2,HIP 23844
760,1,HIP 23889
761,1,HIP 25110
762,2,HIP 24275
763,2,HIP 24275
764,6,HIP 24681
765,6,HIP 24681
766,6,HIP 24681
767,6,HIP 24681
768,6,HIP 24681
769,6,HIP 24681
770,1,HIP 25883
771,1,HIP 3093
772,3,HIP 26381
773,3,HIP 26381
774,3,HIP 26381
775,2,HIP 26664
776,2,HIP 26664
777,1,HIP 26380
778,2,HIP 27253
779,2,HIP 27253
780,1,HIP 27384
781,2,HIP 26394
782,1,HIP 27922 A
783,5,HIP 27887
784,5,HIP 27887
785,5,HIP 27887
786,5,HIP 27887
787,5,HIP 27887
788,1,HIP 28951
789,1,HIP 28767
790,1,HIP 28393 A
791,1,HIP 28393 B
792,1,HIP 3391
793,1,HIP 29242
794,2,HIP 3502
795,2,HIP 3502
796,1,HIP 3479
797,1,HIP 29432
798,1,HIP 3497
799,1,HIP 3574
800,1,HIP 29550
801,1,HIP 30057
802,1,HIP 30114
803,2,HIP 30503
804,2,HIP 30503
805,1,HIP 30860
806,2,HIP 30579
807,2,HIP 30579
808,1,HIP 30905
809,1,HIP 31246
810,2,HIP 31540
811,2,HIP 31540
812,2,HIP 3834
813,2,HIP 3834
814,2,HIP 31674
815,2,HIP 31674
816,1,HIP 31688
817,1,HIP 31895
818,1,HIP 3975
819,1,HIP 32916
820,2,HIP 32970
821,2,HIP 32970
822,1,HIP 33212
823,2,HIP 33229
824,2,HIP 33229
825,1,HIP 33719
826,2,HIP 4297
827,2,HIP 4297
828,1,HIP 34801
829,1,
830,1,HIP 4552
831,1,HIP 801
832,1,HIP 4715
833,1,HIP 36616
834,2,HIP 36795
835,2,HIP 36795
836,1,HIP 37826
837,1,HIP 37284
838,1,HIP 38041
839,1,HIP 38392
840,1,HIP 5054
841,2,HIP 38558
842,2,HIP 38558
843,1,HIP 39311
844,1,HIP 39417
845,2,HIP 39767
846,2,HIP 39767
847,1,HIP 5301
848,1,HIP 39589
849,1,HIP 40687
850,3,HIP 40693
851,3,HIP 40693
852,3,HIP 40693
853,1,
854,1,HIP 40952
855,1,HIP 5529
856,1,HIP 41997
857,1,HIP 42030
858,1,HIP 42098
859,1,HIP 42202
860,2,HIP 42282
861,2,HIP 42282
862,1,HIP 42446
863,2,HIP 42723
864,2,HIP 42723
865,1,HIP 5806
866,1,HIP 43177
867,2,HIP 43569
868,2,HIP 43569
869,1,HIP 43674
870,1,HIP 43686
871,1,HIP 43803
872,1,HIP 44291
873,3,HIP 6379
874,3,HIP 6379
875,3,HIP 6379
876,1,HIP 45406
877,1,HIP 45982
878,1,
879,1,HIP 46076
880,1,HIP 46471
881,1,HIP 47087
882,2,HIP 47007
883,2,HIP 47007
884,1,HIP 6390
885,1,HIP 47202
886,1,HIP 6511
887,1,HIP 48235
888,1,HIP 48331
889,1,HIP 6643
890,1,HIP 48711
891,1,HIP 48739
892,1,HIP 48780
893,1,HIP 6702
894,1,HIP 49129
895,1,HIP 49522 A
896,1,HIP 49699
897,1,HIP 49813
898,1,HIP 50473
899,1,HIP 50496
900,1,HIP 50786
901,1,HIP 50921
902,1,HIP 6993
903,2,HIP 52409
904,2,HIP 52409
905,1,HIP 52472
906,1,HIP 52521
907,2,HIP 7245
908,2,HIP 7245
909,1,HIP 53545
910,1,HIP 53524
911,2,HIP 53666
912,2,HIP 53666
913,1,HIP 53733
914,1,
915,1,HIP 54158
916,1,HIP 54232
917,1,HIP 54195
918,1,HIP 54413
919,1,HIP 54906
920,1,HIP 55174
921,1,HIP 55409
922,1,HIP 55486 A
923,1,HIP 55664
924,1,HIP 55848
925,2,HIP 55994
926,2,HIP 55994
927,1,HIP 105854
928,1,HIP 107773
929,1,HIP 109384
930,1,HIP 109600
931,1,HIP 116454
932,1,HIP 12961
933,3,HIP 14810
934,3,HIP 14810
935,3,HIP 14810
936,1,HIP 35173
937,5,HIP 41378
938,5,HIP 41378
939,5,HIP 41378
940,5,HIP 41378
941,5,HIP 41378
942,2,HIP 5158
943,2,HIP 5158
944,2,HIP 54373
945,2,HIP 54373
946,3,HIP 57274
947,3,HIP 57274
948,3,HIP 57274
949,1,HIP 63242
950,2,HIP 65407
951,2,HIP 65407
952,1,HIP 65426
953,1,HIP 65891
954,1,HIP 67537
955,2,HIP 67851
956,2,HIP 67851
957,1,HIP 70849
958,1,HIP 71135
959,1,HIP 74890
960,1,HIP 78530
961,1,HIP 79098 A
962,1,HIP 79431
963,1,HIP 8541
964,1,HIP 91258
965,1,HIP 97233
966,1,HIP 107350
967,1,HIP 32775
968,1,HIP 67246
969,1,HIP 12653
970,3,HIP 13363
971,3,HIP 13363
972,3,HIP 13363
973,4,HIP 114189
974,4,HIP 114189
975,4,HIP 114189
976,4,HIP 114189
977,2,
978,2,
979,1,HIP 62157
980,1,
981,1,
982,1,
983,1,
984,1,
985,1,
986,1,
987,1,
988,1,
989,1,
990,1,
991,1,
992,1,
993,1,
994,1,
995,1,HIP 110620
996,2,
997,2,
998,1,
999,1,
1000,1,
1001,1,
1002,1,
1003,1,
1004,1,
1005,1,
1006,1,
1007,1,
1008,1,
1009,1,
1010,1,
1011,1,
1012,1,
1013,1,
1014,1,
1015,4,
1016,4,
1017,4,
1018,4,
1019,3,
1020,3,
1021,3,
1022,1,
1023,5,
1024,5,
1025,5,
1026,5,
1027,5,
1028,1,
1029,1,
1030,1,
1031,2,
1032,2,
1033,2,
1034,2,
1035,1,
1036,3,
1037,3,
1038,3,
1039,1,
1040,1,
1041,1,
1042,1,
1043,1,
1044,1,
1045,2,
1046,2,
1047,3,
1048,3,
1049,3,
1050,1,
1051,1,
1052,2,
1053,2,
1054,1,
1055,3,
1056,3,
1057,1,
1058,1,
1059,1,
1060,1,
1061,1,
1062,3,
1063,3,
1064,3,
1065,2,
1066,1,HIP 110758
1067,2,
1068,1,
1069,1,
1070,2,
1071,2,
1072,1,
1073,2,
1074,2,
1075,1,
1076,1,
1077,1,
1078,1,
1079,1,
1080,1,
1081,1,
1082,2,
1083,2,
1084,1,
1085,1,
1086,1,
1087,3,
1088,3,
1089,3,
1090,1,
1091,1,
1092,1,
1093,4,
1094,4,
1095,4,
1096,4,
1097,2,
1098,2,
1099,2,
1100,2,
1101,3,
1102,3,
1103,3,
1104,2,
1105,2,
1106,1,
1107,1,
1108,1,
1109,1,
1110,2,
1111,2,
1112,1,
1113,1,
1114,3,
1115,3,
1116,3,
1117,2,
1118,2,
1119,1,
1120,2,
1121,2,
1122,1,
1123,1,
1124,1,
1125,1,
1126,1,
1127,1,
1128,1,
1129,1,
1130,2,
1131,2,
1132,1,
1133,1,
1134,1,
1135,1,
1136,1,
1137,1,
1138,1,
1139,1,
1140,1,
1141,3,
1142,3,
1143,3,
1144,1,
1145,1,
1146,1,
1147,1,
1148,2,
1149,2,
1150,2,
1151,2,
1152,1,
1153,1,
1154,1,
1155,1,
1156,2,
1157,2,
1158,1,
1159,1,
1160,1,
1161,3,
1162,3,
1163,3,
1164,1,
